country,iso_o,year,gdp_pc,trade_ratio,log_gdp_pc,D_log_gdp_pc,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
Aruba,ABW,2014,35746.859,156.49001,10.484218,0.0035047531,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0
Afghanistan,AFG,2014,3017.9399,87.606354,8.0123301,-0.0094451904,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0
Angola,AGO,2014,11721.66,69.580002,9.369194,0.0081787109,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0
Albania,ALB,2014,13366.56,75.019997,9.5005112,0.037586212,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0
Andorra,AND,2014,59929.238,87.606354,11.000919,0.044301987,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0
United Arab Emirates,ARE,2014,74145.109,159.52,11.213779,-0.001241684,0,Asia,24.466667,54.416668,Arabic,GBR,Emerging and Developing Economies,0.0
Argentina,ARG,2014,28200.82,28.41,10.247107,-0.035764694,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
Armenia,ARM,2014,12667.38,75.779999,9.4467859,0.038084984,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0
Antigua and Barbuda,ATG,2014,25557.52,141.55,10.148686,0.013814926,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0
Australia,AUS,2014,55489.07,42.299999,10.923942,0.010764122,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
Austria,AUT,2014,60845.66,104.5,11.016096,-0.00028514862,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
Azerbaijan,AZE,2014,20709.199,69.480003,9.9383335,0.015109062,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0
Burundi,BDI,2014,1022.29,87.606354,6.9298005,0.0076293945,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0
Belgium,BEL,2014,57002.91,158.57001,10.950857,0.013061523,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0
Benin,BEN,2014,2987.3799,65.269997,8.0021524,0.032085896,0,Africa,6.5,2.7833333,French,FRA,Emerging and Developing Economies,0.0
Burkina Faso,BFA,2014,2083.2,58.82,7.6416602,0.012627125,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0
