country,iso_o,year,gdp_pc,trade_ratio,log_gdp_pc,D_log_gdp_pc,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
Aruba,ABW,2015,36660.629,140.49001,10.509459,0.025240898,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0
Afghanistan,AFG,2015,2967.6899,84.456268,7.9955392,-0.016790867,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0
Angola,AGO,2015,11392.91,54.98,9.3407469,-0.028447151,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0
Albania,ALB,2015,13876.82,71.279999,9.5379753,0.037464142,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0
Andorra,AND,2015,62105.148,84.456268,11.036584,0.035664558,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0
United Arab Emirates,ARE,2015,75238.547,164.28999,11.228419,0.014639854,0,Asia,24.466667,54.416668,Arabic,GBR,Emerging and Developing Economies,0.0
Argentina,ARG,2015,28669.211,22.49,10.263579,0.016472816,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
Armenia,ARM,2015,13112.76,71.68,9.4813414,0.034555435,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0
Antigua and Barbuda,ATG,2015,25734.15,130.07001,10.155574,0.0068874359,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0
Australia,AUS,2015,55880.0,41.490002,10.930962,0.0070199966,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
Austria,AUT,2015,60951.691,103.12,11.017837,0.0017404556,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
Azerbaijan,AZE,2015,20678.75,72.599998,9.936862,-0.0014715195,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0
Burundi,BDI,2015,995.32001,84.456268,6.9030643,-0.026736259,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0
Belgium,BEL,2015,57509.02,155.07001,10.959697,0.0088396072,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0
Benin,BEN,2015,2952.0,56.759998,7.9902382,-0.011914253,0,Africa,6.5,2.7833333,French,FRA,Emerging and Developing Economies,0.0
Burkina Faso,BFA,2015,2101.7,59.09,7.6505017,0.0088415146,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0
